"stud_ID","gender","cluster1","cluster2","cluster3","cluster4","cluster5","cluster6","cluster7"
"MXG060892","Male",0.166666666666667,0,0,0.0555555555555556,0.444444444444444,0.0555555555555556,0.277777777777778
"MXM062692","Male",0.375,0.25,0,0.25,0.0625,0,0.0625
"MXP122291","Female",0,0.1,0.1,0,0.45,0.15,0.2
"MXZ110791","Female",0.111111111111111,0,0,0.277777777777778,0.166666666666667,0.166666666666667,0.277777777777778
"NCL051694","Female",0.0526315789473684,0.157894736842105,0.631578947368421,0,0.157894736842105,0,0
"NDE070393","Male",0,0,0.1,0,0.8,0,0.1
"NTW071494","Male",0,0.1,0,0.1,0,0.8,0
"NVM063094","Female",0.111111111111111,0.333333333333333,0,0.222222222222222,0,0.333333333333333,0
"ODC041593","Male",0.1,0,0,0.05,0.2,0.3,0.35
"OMG060394","Female",0.111111111111111,0.0555555555555556,0,0.111111111111111,0.333333333333333,0.111111111111111,0.277777777777778
"OXL112593","Male",0.15,0.2,0.5,0,0.15,0,0
"PDJ101091","Male",0.25,0.25,0.125,0,0.25,0.125,0
"PEF120193","Male",0.111111111111111,0.277777777777778,0,0.0555555555555556,0.5,0.0555555555555556,0
"PER050192","Female",0.4375,0.1875,0,0.25,0,0.125,0
"PMG102990","Male",0.25,0.125,0,0.625,0,0,0
"PMJ100793","Female",0,0,0,1,0,0,0
"PXM102193","Female",0.3,0.1,0,0.15,0.1,0.15,0.2
"PXV101591","Female",0.0714285714285714,0.142857142857143,0,0,0.714285714285714,0.0714285714285714,0
"QPM070794","Male",0,0.210526315789474,0.210526315789474,0.210526315789474,0,0.315789473684211,0.0526315789473684
"RAJ122891","Male",0.15,0.35,0.05,0.05,0,0.2,0.2
"RAS080293","Male",0,0.611111111111111,0.111111111111111,0,0.111111111111111,0.111111111111111,0.0555555555555556
"RAV093093","Male",0.0666666666666667,0.333333333333333,0.0666666666666667,0,0.0666666666666667,0.333333333333333,0.133333333333333
"RCG062392","Female",0.15,0.3,0.1,0,0.05,0.3,0.1
"RCN031494","Male",0.210526315789474,0,0,0.684210526315789,0,0.0526315789473684,0.0526315789473684
"RHR042694","Female",0.05,0.35,0.25,0.05,0.25,0,0.05
"RJZ092991","Male",0,0.0625,0.3125,0.125,0.1875,0.3125,0
"RMP123191","Male",0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333
"RRC022892","Male",0.1,0.15,0,0.25,0.15,0.15,0.2
"RWK080992","Male",0.5,0,0,0.3125,0.125,0,0.0625
"RXF051094","Male",0.588235294117647,0.0588235294117647,0,0.294117647058824,0,0.0588235294117647,0
"RXV092093","Male",0,0.0714285714285714,0,0,0.5,0,0.428571428571429
"SAB022892","Male",0.176470588235294,0.176470588235294,0,0.470588235294118,0,0.117647058823529,0.0588235294117647
"SAB082791","Female",0.0769230769230769,0.0769230769230769,0.0769230769230769,0,0.0769230769230769,0.384615384615385,0.307692307692308
"SAL111593","Female",0.166666666666667,0.111111111111111,0,0.611111111111111,0,0.111111111111111,0
